scenario,date,spot_price,strike,risk_free_rate,rolling_vol_60,volatility_regime,bsm_price,heston_price,heston_mc_standard_error,bsm_minus_heston,absolute_difference
1,2018-03-29,109.97,109.97,0.0274,0.2533416140421633,normal_or_low,18.83135253989846,16.545237170079222,0.15490999131728614,2.286115369819239,2.286115369819239
2,2018-06-25,104.79,104.79,0.0287,0.2068735875551435,normal_or_low,14.73113419635574,14.132772274692263,0.13575802650710816,0.5983619216634768,0.5983619216634768
3,2018-09-19,117.62,117.62,0.0308,0.1716891021782298,normal_or_low,13.837254095593096,14.333717191121274,0.14076638556794413,-0.4964630955281777,0.4964630955281777
4,2018-12-14,100.29,100.29,0.028900000000000002,0.227417366892004,normal_or_low,15.45918787937002,13.718884682623955,0.13066274813098833,1.7403031967460656,1.7403031967460656
5,2019-03-14,105.34,105.34,0.0263,0.1923971019519305,normal_or_low,13.785838522918432,13.373460489828151,0.12988261378949142,0.4123780330902811,0.4123780330902811
6,2019-06-10,110.34,110.34,0.0215,0.2133433406646243,normal_or_low,15.950792257269072,14.685078021105477,0.14178719068003415,1.2657142361635945,1.2657142361635945
7,2019-09-04,109.87,109.87,0.0147,0.2116017112627154,normal_or_low,15.747864141156874,14.617708142637643,0.14185978967775456,1.130155998519232,1.130155998519232
8,2019-11-27,132.059998,132.059998,0.0177,0.1705478599516124,normal_or_low,15.304874767601426,15.563847838684536,0.1573897087928642,-0.2589730710831102,0.2589730710831102
9,2020-02-26,126.64,126.64,0.013300000000000001,0.1984468021813456,normal_or_low,17.03397433512248,15.851479659763074,0.15555882732533655,1.182494675359406,1.182494675359406
10,2020-05-21,90.17,90.17,0.0068000000000000005,0.9200764202245474,high,54.77928369455442,39.63267762010077,0.37721816699438115,15.14660607445365,15.14660607445365
11,2020-08-17,99.71,99.71,0.0069,0.4275291671319104,high,28.763639178146434,21.568210703094472,0.1954916004228364,7.195428475051962,7.195428475051962
12,2020-11-10,116.52,116.52,0.0098,0.3955799591376042,high,31.090657533266068,23.51078917164286,0.21321499355362275,7.579868361623209,7.579868361623209
13,2021-02-08,140.14,140.14,0.011899999999999999,0.266939169941372,normal_or_low,25.302002571206273,21.302914660609602,0.2034047261536262,3.9990879105966712,3.9990879105966712
14,2021-05-05,157.52,157.52,0.0159,0.2092783728976896,normal_or_low,22.331982396094162,20.374745396787272,0.20062384196866215,1.9572369993068897,1.9572369993068897
15,2021-07-30,151.78,151.78,0.0124,0.2120048639612093,normal_or_low,21.799605358413956,19.331651829657,0.19100020277369592,2.4679535287569543,2.4679535287569543
16,2021-10-25,170.94,170.94,0.016399999999999998,0.2057678837644391,normal_or_low,23.83298860544693,22.282628003750922,0.21929223533745432,1.5503606016960063,1.5503606016960063
17,2022-01-20,147.66,147.66,0.0183,0.2506986239221541,normal_or_low,25.023928080922865,21.55128811643892,0.2050656714680229,3.472639964483946,3.472639964483946
18,2022-04-18,128.46001,128.46001,0.0285,0.2955135128107784,normal_or_low,25.582900915158355,21.361820578666933,0.19495587615738266,4.221080336491422,4.221080336491422
19,2022-07-14,108.0,108.0,0.0296,0.311949783070917,high,22.68000023004113,18.517724414512443,0.17088920493511497,4.162275815528687,4.162275815528687
20,2022-10-07,105.98,105.98,0.038900000000000004,0.2889185650277577,normal_or_low,20.65862743763237,17.448545060985566,0.15866196081975,3.2100823766468025,3.2100823766468025
21,2023-01-04,136.38,136.38,0.0369,0.2648970835166727,normal_or_low,24.43058983528421,21.03821883067743,0.19595104450657597,3.3923710046067796,3.3923710046067796
22,2023-03-31,130.31,130.31,0.0348,0.2738747865763777,normal_or_low,24.100910556970334,20.484914297620673,0.19215336096667815,3.615996259349661,3.615996259349661
23,2023-06-28,138.59,138.59,0.0371,0.228792549484364,normal_or_low,21.555689205737274,19.63439410208962,0.18519415575727055,1.9212951036476547,1.9212951036476547
24,2023-09-22,145.73,145.73,0.0444,0.1674752538700981,normal_or_low,17.044101188001378,17.86147070267118,0.1697066073009562,-0.817369514669803,0.817369514669803
25,2023-12-18,166.23,166.23,0.0395,0.1555412694590868,normal_or_low,18.032871268805387,20.054407164830092,0.19367092075051592,-2.021535896024705,2.021535896024705
26,2024-03-15,190.3,190.3,0.0431,0.1259010475312656,normal_or_low,17.265872456534986,21.318408145382346,0.20474541539720614,-4.05253568884736,4.05253568884736
27,2024-06-11,194.36,194.36,0.043899999999999995,0.2339107435650884,normal_or_low,30.98966368951264,27.952313431539352,0.26090102351062655,3.037350257973287,3.037350257973287
28,2024-09-06,212.46001,212.46001,0.037200000000000004,0.2181164728960543,normal_or_low,31.567187616893833,29.575590679070302,0.27937536811432084,1.9915969378235303,1.9915969378235303
29,2024-12-02,246.25,246.25,0.04190000000000001,0.3246648499429854,high,53.76662883061883,43.93675049747459,0.39746193764234156,9.829878333144237,9.829878333144237
30,2024-12-31,239.71001,239.71001,0.0458,0.3075547532476368,high,49.69287341984881,41.05115721727774,0.37046356469923675,8.641716202571068,8.641716202571068
