feature,importance
rolling_vol_60,0.289016371392805
moneyness,0.2551320451963734
high,0.08739606375914054
close_ma_60,0.07851732655305589
close_ma_20,0.05637618464880499
close,0.04640142158659156
vix_ma_20,0.04148122354659486
choice_time_years,0.037116128254834437
open,0.036588495982176505
treasury_10y,0.01809345890079133
strike,0.010738220759688994
volume_ma_20,0.009832690997435228
low,0.007474089825438383
vix,0.00620806405842997
daily_return,0.0057296912577501306
intraday_return,0.005012221207960273
treasury_10y_momentum_20,0.004033752986282208
log_return,0.0017509583696115917
volume,0.0012490333925980891
jpm_vix_corr_20,0.0005364153875093029
volume_change,0.00041382266911391607
high_low_range,0.0003661701965583201
treasury_10y_change,0.000258683581732259
vix_change,0.00015949161098056835
rolling_vol_20,0.00011797387774212897
maturity_years,0.0
