feature,importance
rolling_vol_60,0.5795198256059352
moneyness,0.3195946580861441
choice_time_years,0.04776460564648766
vix_ma_20,0.024558221389259567
treasury_10y,0.021165521864725152
vix,0.0033514666297186375
close_to_ma60_ratio,0.0026016155473095343
volume_to_ma20_ratio,0.0007267511968411076
rolling_vol_20,0.00018328067664808575
treasury_10y_momentum_20,0.0001311001254405035
volume_change,0.00010793688663714399
daily_return,0.00010548079119372765
log_return,0.00010516651465980218
jpm_vix_corr_20,3.811442628397048e-05
vix_change,3.484924010428022e-05
high_low_range,1.1405372611563818e-05
intraday_return,0.0
close_to_ma20_ratio,0.0
treasury_10y_change,0.0
maturity_years,0.0
