feature,importance
vix,0.5009586362647532
rolling_vol_60,0.12897698702601523
close_ma_60,0.07143658909696331
vix_ma_20,0.0665994982027273
treasury_10y_momentum_20,0.06588719869549446
close_ma_20,0.03965107377082019
treasury_10y,0.03193904759805406
high_low_range,0.02820828705261373
jpm_vix_corr_20,0.02274196052644777
volume_ma_20,0.020879183392366853
rolling_vol_20,0.010749838559901494
volume,0.002219877696648478
open,0.0021679169882207316
vix_change,0.001943310350176056
high,0.0016157448087934395
low,0.0013523438282069357
close,0.0011087260333510947
intraday_return,0.0007460230830463852
volume_change,0.0004042043762410798
daily_return,0.00019691588793404843
log_return,0.00016286033047502205
treasury_10y_change,5.377643074890892e-05
