family,candidate_number,mae,rmse,r2,parameters
ridge,1,2.195419605464603,2.9394206680869317,0.5951391651914194,"{""alpha"": 0.01}"
ridge,2,2.206278545194015,2.9579892712714697,0.5893078294534158,"{""alpha"": 0.1}"
mlp,20,2.2564852997223537,2.9700139477728476,0.5007399003187482,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [32], ""early_stopping"": false, ""alpha"": 0.01, ""activation"": ""relu""}"
ridge,3,2.3821836428796135,3.1658777697676346,0.5147652185625946,"{""alpha"": 1.0}"
mlp,4,2.8868861695069925,3.8514236405573143,0.38762172857371824,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [64, 32], ""early_stopping"": false, ""alpha"": 0.1, ""activation"": ""relu""}"
gbdt,24,2.779377039945469,4.1219713867775685,0.3127206011057253,"{""subsample"": 0.8, ""n_estimators"": 350, ""min_samples_leaf"": 8, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.02}"
gbdt,27,2.7830577659286697,4.1289775306447325,0.31017847802897613,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.02}"
gbdt,20,2.802136196864386,4.1575794075456,0.29857527429739156,"{""subsample"": 0.8, ""n_estimators"": 200, ""min_samples_leaf"": 8, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.07}"
ridge,4,3.1812178453368367,4.188980274235191,0.061810343741555224,"{""alpha"": 10.0}"
gbdt,30,2.9130899584610552,4.309361846974426,0.22986127029441403,"{""subsample"": 1.0, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.02}"
gbdt,1,2.9053399861197806,4.348641067642076,0.21028019058840064,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.1}"
gbdt,39,2.9719759334300964,4.39341480734283,0.18157823009708163,"{""subsample"": 0.8, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.04}"
gbdt,15,2.905406583555129,4.426359161533317,0.20742117936645388,"{""subsample"": 0.8, ""n_estimators"": 350, ""min_samples_leaf"": 8, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.07}"
random_forest,11,3.0167159128455046,4.429027096392295,0.1825096899218575,"{""n_estimators"": 800, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""max_depth"": 6}"
gbdt,26,3.025863053935204,4.437464435090498,0.19379322420089756,"{""subsample"": 0.8, ""n_estimators"": 200, ""min_samples_leaf"": 8, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.02}"
random_forest,1,3.015932053175817,4.440464128448307,0.18107725943608508,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": 1.0, ""max_depth"": 8}"
random_forest,27,3.02013443723684,4.441243573258262,0.18243548749772434,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": 1.0, ""max_depth"": 12}"
random_forest,9,3.0411918297165967,4.458503427641944,0.17098855133933707,"{""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_features"": 1.0, ""max_depth"": 6}"
random_forest,10,3.0195184435347278,4.462614625911957,0.1747225556516266,"{""n_estimators"": 500, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""max_depth"": 8}"
random_forest,25,3.036129437356421,4.4629799631767675,0.172453108437306,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""max_features"": 1.0, ""max_depth"": 12}"
gbdt,36,3.0126472153931747,4.468190807978195,0.21356992103873443,"{""subsample"": 0.8, ""n_estimators"": 350, ""min_samples_leaf"": 2, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.07}"
random_forest,18,3.036130376001228,4.469254152931432,0.168036613877788,"{""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_features"": 1.0, ""max_depth"": null}"
gbdt,29,3.0097589909193823,4.474387550472352,0.21089153105275257,"{""subsample"": 0.8, ""n_estimators"": 350, ""min_samples_leaf"": 3, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.07}"
gbdt,19,3.042025240554107,4.474619618263232,0.14558908985696623,"{""subsample"": 0.8, ""n_estimators"": 700, ""min_samples_leaf"": 3, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.02}"
gbdt,28,3.0619792606909177,4.48958793566654,0.12636542508077966,"{""subsample"": 0.8, ""n_estimators"": 350, ""min_samples_leaf"": 5, ""max_depth"": 3, ""loss"": ""huber"", ""learning_rate"": 0.02}"
gbdt,40,3.0888640288509657,4.499662148996279,0.09487894411305306,"{""subsample"": 1.0, ""n_estimators"": 350, ""min_samples_leaf"": 2, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.1}"
gbdt,4,3.0937863817045943,4.50112096218206,0.09373602652782961,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.1}"
gbdt,10,3.102255697582096,4.535111985911849,0.1863168125698698,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.04}"
gbdt,16,3.102255697582096,4.535111985911849,0.1863168125698698,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_leaf"": 3, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.04}"
random_forest,26,3.1918345720241015,4.5886315006547145,0.1424806914981227,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": 1.0, ""max_depth"": 4}"
gbdt,14,3.1362122404146735,4.592981782729154,0.0336089349026632,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.04}"
random_forest,17,3.1204425629327273,4.594845009807356,0.11583018946741844,"{""n_estimators"": 800, ""min_samples_leaf"": 5, ""max_features"": 1.0, ""max_depth"": null}"
random_forest,28,3.143302738829525,4.607641902490959,0.11448835361907944,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": 0.7, ""max_depth"": 12}"
gbdt,23,3.1639594892423095,4.608672865188022,0.03409073362504697,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_depth"": 4, ""loss"": ""huber"", ""learning_rate"": 0.07}"
