feature,mean_absolute_shap_usd
rolling_vol_60,4.157243603361469
moneyness,3.4499274536464384
choice_time_years,1.3415846726441145
treasury_10y,0.4127833743874231
vix_ma_20,0.39417287974099313
vix,0.15779005511927127
volume_to_ma20_ratio,0.12724198680600723
close_to_ma60_ratio,0.08087103997157329
jpm_vix_corr_20,0.07505696766690446
rolling_vol_20,0.04957126262666371
volume_change,0.04480447414477418
close_to_ma20_ratio,0.027780049740482534
treasury_10y_momentum_20,0.026506879877515304
intraday_return,0.023304244519126657
vix_change,0.017642613017602535
log_return,0.015157635772357902
daily_return,0.014365757829931138
high_low_range,0.01167817295845926
treasury_10y_change,0.008611154133420399
maturity_years,0.0
