feature,feature_value,shap_contribution_usd
rolling_vol_60,0.2181164728960543,-3.6414423524740793
moneyness,1.1,-2.1157451589667757
choice_time_years,0.5,1.2250969508290586
treasury_10y,3.72,-0.3893178963762716
vix_ma_20,17.464499999999997,-0.33197452029730906
volume_to_ma20_ratio,1.1592954190911822,-0.0897644163496955
jpm_vix_corr_20,-0.6950453603356423,0.08225533484271114
vix_change,0.1246231155778894,0.06183705936404328
rolling_vol_20,0.1558413778762854,-0.05144693122694755
close_to_ma60_ratio,1.0205346680304959,-0.04879759205325781
log_return,-0.0240425907064261,0.04325403071794253
intraday_return,-0.0236213224438729,-0.03560577406260143
close_to_ma20_ratio,0.9853057875684069,-0.02181839246088158
high_low_range,0.0360068419463973,0.01730921240934636
daily_return,-0.0237558700546799,0.015131769601900269
treasury_10y_momentum_20,-0.27,-0.014009619029689712
volume_change,-0.0360564707048922,-0.012853572399998554
vix,22.38,0.011735666513605598
treasury_10y_change,-0.0099999999999997,-0.007180768783279261
maturity_years,1.0,0.0
