rank_rmse,mean_cv_mae,std_cv_mae,mean_cv_rmse,std_cv_rmse,mean_cv_r2,std_cv_r2,parameters
1,0.19458981139439685,0.1513238693442081,0.24435698026710667,0.15522613704835347,-23.03274624830965,44.47626934262039,"{""n_estimators"": 800, ""min_samples_leaf"": 10, ""max_features"": ""sqrt"", ""max_depth"": 8}"
2,0.2024738844560725,0.1689744459799181,0.2532463354155328,0.17201474370236627,-28.283403640667057,55.08112917190945,"{""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 4}"
3,0.21143666042055348,0.1785441384028189,0.26323685921463863,0.17851677796838394,-31.771823343491604,61.688241233511214,"{""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}"
4,0.21145472170070687,0.17405819893903124,0.2632467164373534,0.17458203610083706,-30.9308571071559,59.83876089848734,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": null}"
5,0.21099856666559763,0.17445503030160622,0.2632851156696384,0.17483305720852152,-30.82427137884499,59.62758055429689,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 6}"
6,0.21561103908245335,0.1795912604646293,0.2671282918244571,0.17929729742999473,-32.70437310601858,63.324083100624485,"{""n_estimators"": 500, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 12}"
7,0.21605142131309898,0.1810024055937883,0.26776973245390046,0.18078252129713437,-33.264123536650274,64.45087244618135,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 12}"
8,0.222883364944137,0.18546089543838748,0.27667449126795257,0.1828022181632558,-35.51911258700993,68.36950966032533,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 12}"
9,0.22554403661792918,0.1880982663008362,0.2783739554871851,0.18544998211069236,-36.30646027881123,69.96012218996528,"{""n_estimators"": 800, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null}"
10,0.23740901498761396,0.23066449223511207,0.29365698881582974,0.22765659383182021,-50.85904591630275,99.69966765512747,"{""n_estimators"": 500, ""min_samples_leaf"": 10, ""max_features"": 0.7, ""max_depth"": 4}"
