feature,importance
vix,0.1789793929643138
rolling_vol_60,0.0897520412858465
vix_ma_20,0.08157044699851092
treasury_10y,0.07433878907163549
high_low_range,0.07308879283663616
rolling_vol_20,0.06878071495344275
treasury_10y_momentum_20,0.06073077082189239
close_ma_60,0.051942557283357546
volume_ma_20,0.04117114185084748
jpm_vix_corr_20,0.038591668612952025
volume,0.03742015558367222
daily_return,0.03420666968392127
close_ma_20,0.0338129255125831
log_return,0.033468461147660764
low,0.03184683824515741
close,0.021580487273242185
open,0.01945870304231896
high,0.015807569431926308
vix_change,0.005656868052495705
intraday_return,0.0030740964671885683
volume_change,0.0025438762126097835
treasury_10y_change,0.002177032667788934
