rank,feature,feature_group,mean_abs_shap_ratio,mean_abs_shap_usd,mean_signed_shap_ratio,mean_signed_shap_usd,secondary_mean_abs_shap_ratio,share_of_total_mean_abs
4,vix_ma_20,vix_core,0.002082065922788906,0.43623731282384853,-0.002082065922788906,-0.43623731282384853,0.0022765356224839486,0.04047084753473173
7,vix,vix_core,0.0006729174577043267,0.14119236113566985,-0.0006484916321391265,-0.13600284999182913,0.0007139162469003395,0.013098775259735393
8,news_article_count_ma_5,news_sentiment,0.0005129214230878024,0.1127408054319816,-0.0005129214230878024,-0.1127408054319816,0.0007237509199184539,0.010459251910491652
9,news_sentiment_ma_20,news_sentiment,0.00045493015821856947,0.1002083426863125,-0.00045493015821856947,-0.1002083426863125,0.0005650054832851766,0.009296583394743927
10,jpm_vix_corr_20,vix_interaction,0.0004491172302195992,0.09554856632941029,9.466067317730237e-05,0.02984158388528659,0.00040618385692640875,0.008864284063755046
15,news_sentiment_ma_5,news_sentiment,0.00012059476247350292,0.025333077536974287,-8.083811073874561e-05,-0.01761575087736649,0.00012902945389956722,0.0023502141803225744
18,news_neutral_share_lag1,news_sentiment,9.435662513986005e-05,0.02068757995889444,3.903205406976375e-05,0.00840859094499149,0.00010052841793272671,0.001919239528043456
19,vix_change,vix_core,9.550759398246104e-05,0.020500622385521618,-3.1109269787961594e-05,-0.006954058935579462,0.00010118467586736796,0.0019018949973831681
20,news_article_count_lag1,news_sentiment,8.834467127575245e-05,0.018334764736341515,-8.7468966582617e-05,-0.01815185018392926,9.297139033655335e-05,0.0017009628622237556
24,news_sentiment_mean_lag1,news_sentiment,7.167001796854508e-05,0.015689799713116258,9.365855317618029e-07,0.0005167477407683672,7.943777838949014e-05,0.0014555827146689048
26,news_sentiment_weighted_lag1,news_sentiment,2.8330579472679342e-05,0.005878363432379522,1.3311884765375771e-05,0.0029772813664252443,2.7846653709957538e-05,0.0005453507603134312
27,news_positive_share_lag1,news_sentiment,1.4413067667391753e-05,0.003011314204851995,1.96186583139305e-06,0.0005448233246033243,1.6982345542525455e-05,0.00027936729500474425
28,news_negative_share_lag1,news_sentiment,7.270871395224456e-06,0.001559706464735171,4.13886151773078e-06,0.0009284816016762339,6.396174405229739e-06,0.00014469794462245206
29,news_available_lag1,news_sentiment,1.8986366762108068e-06,0.00035966710454748106,1.8986366762108068e-06,0.00035966710454748106,3.430329670663921e-07,3.336723412579155e-05
