feature,importance,feature_group
rolling_vol_60,0.5883656591886619,market
moneyness,0.31729915097322026,market
choice_time_years,0.04869308886627412,market
treasury_10y,0.02119135836924159,market
vix_ma_20,0.005601111245392879,market
vix,0.0024868736315309748,market
news_article_count_ma_5,0.0020076358889677647,sentiment
treasury_10y_change,0.0018673098989929382,market
volume_to_ma20_ratio,0.001695822929023173,market
news_sentiment_ma_20,0.0016648373179374207,sentiment
jpm_vix_corr_20,0.0011738376319400854,market
rolling_vol_20,0.0010891325316293565,market
close_to_ma60_ratio,0.0009299659603734801,market
vix_change,0.000652783227952611,market
close_to_ma20_ratio,0.0006326699497595629,market
news_sentiment_ma_5,0.0005805831523795084,sentiment
volume_change,0.0005557207140371288,market
log_return,0.0005543476693171105,market
news_article_count_lag1,0.00046515582725725215,sentiment
intraday_return,0.0004559081206534685,market
news_neutral_share_lag1,0.0004470072650561791,sentiment
daily_return,0.00041304904591576953,market
treasury_10y_momentum_20,0.0003181999165939054,market
high_low_range,0.0003072154801151385,market
news_sentiment_mean_lag1,0.0002061778624684231,sentiment
news_sentiment_weighted_lag1,0.0001954437281687277,sentiment
news_positive_share_lag1,9.096887802492714e-05,sentiment
news_negative_share_lag1,5.7663511991507594e-05,sentiment
news_available_lag1,1.3212171230674987e-06,sentiment
maturity_years,0.0,market
